"AttributeKey","DatasetKey","DisableAggregate","HasNote","Identifier","SWS_Dimension","isFishStatJ"
"5","1","false","20","11","geographicAreaM49_fi","true"
"101","1","false","","12","fisheriesAsfis","true"
"41","1","false","","13","fisheriesCatchArea","true"
"151","1","false","","14","fisheriesProductionSource","true"
"9992","1","true","","15","measuredElement","false"
"5","2","false","20","21","geographicAreaM49_fi","true"
"101","2","false","","22","fisheriesAsfis","true"
"41","2","false","","23","fisheriesCatchArea","true"
"9992","2","true","","24","measuredElement","false"
"5","3","false","","31","","true"
"101","3","false","","32","","true"
"41","3","false","","33","","true"
"166","3","false","","34","","true"
"9992","3","true","","35","","false"
"5","4","false","","41","","true"
"206","4","false","","42","","true"
"201","4","false","","43","","true"
"9992","4","false","","44","","false"
"5","5","false","","51","geographicAreaM49_fi","true"
"101","5","false","","52","fisheriesAsfis","true"
"71","5","false","","53","fisheriesCatchArea","true"
"9992","5","false","","54","measuredElement","false"
"5","6","false","","61","geographicAreaM49_fi","true"
"101","6","false","","62","fisheriesAsfis","true"
"71","6","false","","63","fisheriesCatchArea","true"
"9992","6","false","","64","measuredElement","false"
"5","7","false","","71","geographicAreaM49_fi","true"
"101","7","false","","72","fisheriesAsfis","true"
"71","7","false","","73","fisheriesCatchArea","true"
"9992","7","false","","74","measuredElement","false"
"5","8","false","","81","geographicAreaM49_fi","true"
"101","8","false","","82","fisheriesAsfis","true"
"71","8","false","","83","fisheriesCatchArea","true"
"9992","8","false","","84","measuredElement","false"
"5","9","false","","91","","true"
"241","9","false","","92","","true"
"256","9","true","","93","","true"
"9992","9","false","","94","","false"
"5","10","false","","101","","true"
"9992","10","false","","102","","false"
"305","11","false","","110","","true"
"315","11","false","","111","","true"
"206","11","false","","112","","true"
"196","11","false","","113","","true"
"9992","11","false","","114","","false"
"305","12","false","","121","","true"
"206","12","false","","122","","true"
"196","12","false","","123","","true"
"9992","12","false","","124","","false"
"305","14","false","","125","","true"
"206","14","false","","126","","true"
"196","14","false","","127","","true"
"9992","14","false","","128","","false"
"5","13","false","","131","","true"
"206","13","false","","132","","true"
"201","13","false","","133","","true"
"9992","13","false","","134","","false"
"9033","9001","false","","9001","","true"
"9043","9001","false","","9002","","true"
"9022","9001","false","","9003","","true"
"9007","9001","false","","9004","","true"
"9992","9001","false","","9005","","false"
