"End_Year","Group","Member","Start_Year"
"9999","378","5","1900"
"9999","378","8","1900"
"9999","378","12","1900"
"9999","378","13","1900"
"9999","378","14","1900"
"9999","378","17","2010"
"9999","378","22","1900"
"9999","378","23","1900"
"9999","378","25","1900"
"9999","378","35","1900"
"9999","378","36","2010"
"9999","378","45","1900"
"9999","378","47","1900"
"9999","378","49","1900"
"9999","378","55","1900"
"9999","378","56","1900"
"9999","378","66","1900"
"9999","378","70","1900"
"9999","378","83","1900"
"9999","378","86","1900"
"9999","378","87","2010"
"9999","378","88","1900"
"9999","378","91","1900"
"9999","378","93","1900"
"9999","378","109","1900"
"9999","378","127","1900"
"9999","378","132","1900"
"9999","378","135","2010"
"9999","378","137","1900"
"9999","378","142","1900"
"9999","378","145","1900"
"9999","378","148","1900"
"9999","378","151","1900"
"9999","378","153","1900"
"9999","378","155","1900"
"9999","378","160","1900"
"9999","378","163","1900"
"9999","378","168","1900"
"9999","378","175","1900"
"9999","378","176","1900"
"9999","378","177","1900"
"9999","378","180","1900"
"9999","378","188","1900"
"9999","378","189","1900"
"9999","378","191","1900"
"9999","378","193","1900"
"9999","378","196","1900"
"9999","378","200","1900"
"9999","378","207","1900"
"9999","378","219","1900"
"9999","378","220","1900"
"9999","378","224","2010"
"9999","378","227","1900"
"9999","378","239","1900"
"9999","378","240","1900"
"9999","378","244","1900"
"9999","378","258","1900"
"9999","378","283","1990"
"9999","378","286","2010"
"9999","378","289","2017"
"9999","401","2","1900"
"9999","401","7","1900"
"9999","401","8","1900"
"9999","401","14","1900"
"9999","401","16","1900"
"9999","401","18","1900"
"9999","401","20","1900"
"9999","401","25","1900"
"9999","401","28","1900"
"9999","401","29","1900"
"9999","401","37","1900"
"9999","401","38","1900"
"9999","401","39","1900"
"9999","401","45","1900"
"9999","401","49","1900"
"9999","401","53","1900"
"9999","401","55","1900"
"9999","401","56","1900"
"9999","401","59","1900"
"9999","401","60","1900"
"9999","401","62","1900"
"9999","401","72","1900"
"9999","401","74","1900"
"9999","401","75","1900"
"9999","401","83","1900"
"9999","401","86","1900"
"9999","401","90","1900"
"9999","401","93","1900"
"9999","401","95","1900"
"9999","401","107","1900"
"9999","401","109","1900"
"9999","401","112","1900"
"9999","401","114","1900"
"9999","401","115","1900"
"9999","401","120","1900"
"9999","401","122","1900"
"9999","401","123","1900"
"9999","401","129","1900"
"9999","401","130","1900"
"9999","401","132","1900"
"9999","401","133","1900"
"9999","401","136","1900"
"9999","401","137","1900"
"9999","401","141","1900"
"9999","401","143","1900"
"9999","401","144","1900"
"9999","401","147","1900"
"9999","401","149","1900"
"9999","401","155","1900"
"9999","401","158","1900"
"9999","401","165","1900"
"9999","401","170","1900"
"9999","401","175","1900"
"9999","401","176","1900"
"9999","401","178","1900"
"9999","401","184","1900"
"9999","401","188","1900"
"9999","401","189","1900"
"9999","401","191","1900"
"9999","401","193","1900"
"9999","401","195","1900"
"9999","401","197","1900"
"9999","401","201","1900"
"9999","401","206","1900"
"9999","401","209","1900"
"9999","401","215","1900"
"9999","401","217","1900"
"9999","401","220","1900"
"9999","401","222","1900"
"9999","401","226","1900"
"9999","401","227","1900"
"9999","401","233","1900"
"9999","401","236","1900"
"9999","401","238","1900"
"9999","401","246","1900"
"9999","401","247","1900"
"9999","401","249","1900"
"9999","401","250","1900"
"9999","401","251","1900"
"9999","401","276","1900"
"9999","401","290","2011"
"9999","401","298","2011"
"9999","402","1","1900"
"9999","402","2","1900"
"9999","402","18","1900"
"9999","402","19","1900"
"9999","402","20","1900"
"9999","402","29","1900"
"9999","402","37","1900"
"9999","402","39","1900"
"9999","402","52","1900"
"9999","402","108","1900"
"9999","402","113","1900"
"9999","402","120","1900"
"9999","402","122","1900"
"9999","402","130","1900"
"9999","402","133","1900"
"9999","402","141","1900"
"9999","402","146","1900"
"9999","402","149","1900"
"9999","402","154","1900"
"9999","402","158","1900"
"9999","402","169","1900"
"9999","402","181","1900"
"9999","402","184","1900"
"9999","402","208","1900"
"9999","402","209","1900"
"9999","402","213","1900"
"9999","402","226","1900"
"9999","402","233","1900"
"9999","402","235","1900"
"9999","402","238","1900"
"9999","402","251","1900"
"9999","402","290","2012"
"9999","826","2","1900"
"9999","826","29","1900"
"9999","826","37","1900"
"9999","826","39","1900"
"9999","826","62","1900"
"9999","826","75","1900"
"9999","826","90","1900"
"9999","826","93","1900"
"9999","826","116","1900"
"9999","826","123","1900"
"9999","826","129","1900"
"9999","826","130","1900"
